epoch,sat_count,mean_elevation_deg,mean_trop_m,min_trop_m,max_trop_m
2025-01-01 00:00:00.000,6,40.781347,5.523629,2.406368,12.468267
2025-01-01 00:01:00.000,7,41.486607,5.249606,2.406130,12.857031
2025-01-01 00:02:00.000,7,41.473756,5.292818,2.406108,13.269569
2025-01-01 00:03:00.000,7,41.453080,5.340779,2.406304,13.708109
2025-01-01 00:04:00.000,6,46.712003,3.930256,2.406719,7.154502
2025-01-01 00:05:00.000,6,46.725365,3.915420,2.407352,7.038843
2025-01-01 00:06:00.000,5,47.504749,3.979691,2.408206,6.927277
2025-01-01 00:07:00.000,5,47.596464,3.958044,2.409281,6.819600
2025-01-01 00:08:00.000,5,47.678481,3.937486,2.410578,6.715620
2025-01-01 00:09:00.000,5,47.751331,3.917981,2.412098,6.615157
2025-01-01 00:10:00.000,5,47.815546,3.899500,2.413843,6.518046
2025-01-01 00:11:00.000,5,47.871648,3.882012,2.415814,6.424127
2025-01-01 00:12:00.000,5,47.920126,3.865491,2.418012,6.333254
2025-01-01 00:13:00.000,5,47.961435,3.849912,2.420438,6.245288
2025-01-01 00:14:00.000,5,47.995987,3.835252,2.423094,6.160099
2025-01-01 00:15:00.000,5,48.024152,3.821490,2.425982,6.077564
2025-01-01 00:16:00.000,5,48.046260,3.808608,2.429103,5.997568
2025-01-01 00:17:00.000,5,48.062600,3.796587,2.432459,5.920002
2025-01-01 00:18:00.000,5,48.073431,3.785411,2.436051,5.844764
2025-01-01 00:19:00.000,5,48.078976,3.775066,2.439882,5.771757
2025-01-01 00:20:00.000,5,48.079434,3.765539,2.443954,5.700888
2025-01-01 00:21:00.000,5,48.074977,3.756817,2.448268,5.632072
2025-01-01 00:22:00.000,5,48.065757,3.748891,2.452827,5.565227
2025-01-01 00:23:00.000,5,48.051909,3.741751,2.457633,5.500274
2025-01-01 00:24:00.000,5,48.033552,3.735389,2.462688,5.437141
2025-01-01 00:25:00.000,5,48.010790,3.729799,2.467995,5.375757
2025-01-01 00:26:00.000,5,47.983718,3.724974,2.473556,5.316055
2025-01-01 00:27:00.000,5,47.952422,3.720911,2.479373,5.257975
2025-01-01 00:28:00.000,5,47.916977,3.717605,2.485450,5.201454
2025-01-01 00:29:00.000,5,47.877454,3.715056,2.491790,5.146437
2025-01-01 00:30:00.000,6,41.541313,5.369198,2.498395,13.648884
2025-01-01 00:31:00.000,6,41.568773,5.281953,2.505267,13.130611
2025-01-01 00:32:00.000,6,41.593191,5.201520,2.512412,12.649435
2025-01-01 00:33:00.000,6,41.614611,5.127267,2.519830,12.201547
2025-01-01 00:34:00.000,6,41.633076,5.058646,2.527527,11.783641
2025-01-01 00:35:00.000,6,41.648623,4.995179,2.535505,11.392834
2025-01-01 00:36:00.000,6,41.661292,4.936452,2.543769,11.026603
2025-01-01 00:37:00.000,6,41.671121,4.882100,2.552321,10.682729
2025-01-01 00:38:00.000,6,41.678145,4.831803,2.561166,10.359250
2025-01-01 00:39:00.000,6,41.682402,4.785280,2.570308,10.054429
2025-01-01 00:40:00.000,6,41.683926,4.742281,2.579750,9.766721
2025-01-01 00:41:00.000,6,41.682755,4.702588,2.589498,9.494747
2025-01-01 00:42:00.000,6,41.678922,4.666005,2.599556,9.237272
2025-01-01 00:43:00.000,6,41.672465,4.632361,2.609928,8.993186
2025-01-01 00:44:00.000,6,41.663419,4.601503,2.620618,8.761491
2025-01-01 00:45:00.000,6,41.651820,4.573295,2.631633,8.541287
2025-01-01 00:46:00.000,6,41.637703,4.547620,2.642977,8.331755
2025-01-01 00:47:00.000,6,41.621106,4.524371,2.654656,8.132157
2025-01-01 00:48:00.000,6,41.602063,4.503457,2.666674,7.941819
2025-01-01 00:49:00.000,6,41.580612,4.484796,2.679038,7.760126
2025-01-01 00:50:00.000,6,41.556790,4.468320,2.691753,7.586518
2025-01-01 00:51:00.000,6,41.530632,4.453969,2.704826,7.420482
2025-01-01 00:52:00.000,6,41.502177,4.441691,2.718262,7.261548
2025-01-01 00:53:00.000,6,41.471460,4.431446,2.732069,7.109282
2025-01-01 00:54:00.000,6,41.438519,4.423199,2.746253,6.963288
2025-01-01 00:55:00.000,6,41.403392,4.416925,2.760820,7.066544
2025-01-01 00:56:00.000,6,41.366114,4.412607,2.775779,7.185169
2025-01-01 00:57:00.000,6,41.326723,4.410233,2.791136,7.308680
2025-01-01 00:58:00.000,6,41.285256,4.409801,2.796036,7.437356
2025-01-01 00:59:00.000,6,41.241749,4.411315,2.791960,7.571497
2025-01-01 01:00:00.000,6,41.196240,4.414788,2.788029,7.711431
2025-01-01 01:01:00.000,6,41.148764,4.420237,2.784243,7.857509
2025-01-01 01:02:00.000,6,41.099358,4.427692,2.780600,8.010114
2025-01-01 01:03:00.000,6,41.048058,4.437187,2.777097,8.169661
2025-01-01 01:04:00.000,6,40.994900,4.448765,2.773732,8.336603
2025-01-01 01:05:00.000,6,40.939919,4.462480,2.770505,8.511430
2025-01-01 01:06:00.000,5,45.870898,3.635136,2.767412,5.590661
2025-01-01 01:07:00.000,6,40.687078,4.577371,2.764453,9.371697
2025-01-01 01:08:00.000,6,40.614250,4.610129,2.761626,9.646915
2025-01-01 01:09:00.000,5,45.866990,3.587906,2.758928,5.330154
2025-01-01 01:10:00.000,6,40.464660,4.686248,2.756360,10.248056
2025-01-01 01:11:00.000,6,40.387953,4.730095,2.753918,10.577132
2025-01-01 01:12:00.000,5,45.846985,3.548290,2.751602,5.094023
2025-01-01 01:13:00.000,5,45.836888,3.536675,2.749410,5.020186
2025-01-01 01:14:00.000,5,51.053924,3.314259,2.595219,4.948613
2025-01-01 01:15:00.000,6,44.257056,4.945314,2.592805,13.134204
2025-01-01 01:16:00.000,7,39.703395,5.787464,2.590513,12.850139
2025-01-01 01:17:00.000,6,44.260774,4.843203,2.588345,12.578645
2025-01-01 01:18:00.000,6,44.259533,4.795986,2.586301,12.318957
2025-01-01 01:19:00.000,7,39.544586,5.817608,2.584382,12.216310
2025-01-01 01:20:00.000,6,44.250822,4.708601,2.582588,11.832231
2025-01-01 01:21:00.000,6,44.243340,4.668211,2.580921,11.603945
2025-01-01 01:22:00.000,6,44.233768,4.629887,2.579380,11.384957
2025-01-01 01:23:00.000,6,44.222099,4.593539,2.577968,11.174754
2025-01-01 01:24:00.000,6,44.208328,4.559085,2.576684,10.972860
2025-01-01 01:25:00.000,5,50.470469,3.275967,2.575530,4.287072
2025-01-01 01:26:00.000,5,50.402999,3.276206,2.574507,4.236580
2025-01-01 01:27:00.000,5,50.333140,3.277042,2.573615,4.187448
2025-01-01 01:28:00.000,6,44.132149,4.438729,2.572856,10.240005
2025-01-01 01:29:00.000,6,44.107813,4.412686,2.572230,10.073623
2025-01-01 01:30:00.000,6,44.081357,4.388152,2.571739,9.913321
2025-01-01 01:31:00.000,6,44.052780,4.365076,2.571383,9.758807
2025-01-01 01:32:00.000,6,40.200636,4.474523,2.729579,9.609812
2025-01-01 01:33:00.000,6,43.989265,4.323128,2.571083,9.466081
2025-01-01 01:34:00.000,6,40.210773,4.430819,2.729726,9.327375
2025-01-01 01:35:00.000,6,40.214191,4.410966,2.729949,9.193471
2025-01-01 01:36:00.000,6,40.216523,4.392399,2.730269,9.064159
2025-01-01 01:37:00.000,5,45.161922,3.462259,2.730687,3.863591
2025-01-01 01:38:00.000,6,40.217975,4.359009,2.731201,8.818532
2025-01-01 01:39:00.000,6,43.748049,4.228330,2.573556,8.701856
2025-01-01 01:40:00.000,6,40.215208,4.330437,2.732515,8.589048
2025-01-01 01:41:00.000,6,38.823587,5.833764,2.575538,13.550448
2025-01-01 01:42:00.000,7,34.780197,6.874189,2.576753,13.719793
2025-01-01 01:43:00.000,6,38.986620,5.639909,2.578117,12.558649
2025-01-01 01:44:00.000,6,39.065592,5.553064,2.579635,12.114617
2025-01-01 01:45:00.000,6,39.142870,5.472152,2.581305,11.700548
2025-01-01 01:46:00.000,6,39.218456,5.396672,2.583131,11.313536
2025-01-01 01:47:00.000,6,39.292354,5.326190,2.585114,10.951044
2025-01-01 01:48:00.000,6,39.364572,5.260323,2.587255,10.610838
2025-01-01 01:49:00.000,6,39.435114,5.198733,2.589557,10.290951
2025-01-01 01:50:00.000,6,39.503990,5.141122,2.592020,9.989640
2025-01-01 01:51:00.000,6,39.571207,5.087227,2.594647,9.705355
2025-01-01 01:52:00.000,6,39.636776,5.036811,2.597440,9.436714
2025-01-01 01:53:00.000,7,35.986151,5.717667,2.600400,10.085676
2025-01-01 01:54:00.000,6,39.763013,4.945605,2.603529,8.941551
2025-01-01 01:55:00.000,6,39.823703,4.904462,2.606830,8.712921
2025-01-01 01:56:00.000,6,39.882792,4.866088,2.610304,8.495693
2025-01-01 01:57:00.000,7,36.375540,5.459748,2.613953,9.236140
2025-01-01 01:58:00.000,7,36.468832,5.404536,2.617780,9.048974
2025-01-01 01:59:00.000,6,40.050581,4.766322,2.621786,7.904644
2025-01-01 02:00:00.000,6,40.103397,4.737831,2.625974,7.725594
2025-01-01 02:01:00.000,6,40.154681,4.711576,2.630347,7.554552
2025-01-01 02:02:00.000,6,40.204445,4.687480,2.634906,7.391006
2025-01-01 02:03:00.000,6,40.252705,4.665481,2.639654,7.234488
2025-01-01 02:04:00.000,6,40.299475,4.645521,2.644593,7.084569
2025-01-01 02:05:00.000,6,40.344769,4.627552,2.649727,6.940854
2025-01-01 02:06:00.000,6,40.388600,4.611533,2.655057,6.802977
2025-01-01 02:07:00.000,6,40.430984,4.597430,2.660587,6.670602
2025-01-01 02:08:00.000,6,40.471932,4.585214,2.666319,6.544881
2025-01-01 02:09:00.000,6,40.511458,4.574865,2.672255,6.500634
2025-01-01 02:10:00.000,6,40.549576,4.566369,2.678400,6.457859
2025-01-01 02:11:00.000,6,40.586296,4.559716,2.684756,6.416520
2025-01-01 02:12:00.000,7,37.607785,4.925139,2.691325,7.146539
2025-01-01 02:13:00.000,7,37.677367,4.908569,2.698112,7.048342
2025-01-01 02:14:00.000,7,37.745394,4.894122,2.705119,6.953873
2025-01-01 02:15:00.000,7,37.811865,4.881788,2.712350,6.908357
2025-01-01 02:16:00.000,7,37.876782,4.871562,2.719808,7.056908
2025-01-01 02:17:00.000,7,37.940144,4.863450,2.727497,7.211855
2025-01-01 02:18:00.000,7,38.001949,4.857462,2.735420,7.373604
2025-01-01 02:19:00.000,7,38.062195,4.853617,2.743581,7.542592
2025-01-01 02:20:00.000,7,38.120880,4.851944,2.751984,7.719298
2025-01-01 02:21:00.000,7,38.178000,4.852479,2.751177,7.904242
2025-01-01 02:22:00.000,7,38.233551,4.855266,2.738458,8.097994
2025-01-01 02:23:00.000,7,38.287529,4.860361,2.726061,8.301176
2025-01-01 02:24:00.000,7,38.339927,4.867830,2.713981,8.514469
2025-01-01 02:25:00.000,7,38.390738,4.877750,2.702213,8.738626
2025-01-01 02:26:00.000,7,38.439957,4.890211,2.690750,8.974470
2025-01-01 02:27:00.000,7,38.487573,4.905316,2.679588,9.222916
2025-01-01 02:28:00.000,8,36.219679,5.179777,2.668723,9.484973
2025-01-01 02:29:00.000,8,36.208616,5.214968,2.658148,9.761761
2025-01-01 02:30:00.000,8,36.196217,5.253523,2.647860,10.054529
2025-01-01 02:31:00.000,7,38.661821,4.994837,2.637855,10.364667
2025-01-01 02:32:00.000,7,38.701271,5.025333,2.628127,10.693735
2025-01-01 02:33:00.000,7,38.739048,5.059497,2.618672,11.043484
2025-01-01 02:34:00.000,7,38.775138,5.097594,2.609487,11.415887
2025-01-01 02:35:00.000,7,38.809524,5.139926,2.600567,11.813179
2025-01-01 02:36:00.000,7,38.842187,5.186840,2.591909,12.237896
2025-01-01 02:37:00.000,7,38.873108,5.238735,2.583509,12.692931
2025-01-01 02:38:00.000,7,38.902266,5.296070,2.575363,13.181601
2025-01-01 02:39:00.000,7,38.929638,5.359378,2.567468,13.707722
2025-01-01 02:40:00.000,6,43.842493,3.954871,2.559820,5.737280
2025-01-01 02:41:00.000,6,43.937066,3.942453,2.552416,5.729419
2025-01-01 02:42:00.000,6,44.029165,3.930722,2.545253,5.722509
2025-01-01 02:43:00.000,6,44.118755,3.919664,2.538328,5.716549
2025-01-01 02:44:00.000,6,44.205796,3.909269,2.531637,5.711536
2025-01-01 02:45:00.000,7,39.869693,4.820592,2.525178,10.346981
2025-01-01 02:46:00.000,6,44.372063,3.890428,2.518948,5.704352
2025-01-01 02:47:00.000,6,44.451198,3.881962,2.512944,5.702181
2025-01-01 02:48:00.000,6,44.527599,3.874123,2.507163,5.700959
2025-01-01 02:49:00.000,6,44.601212,3.866902,2.501604,5.700687
2025-01-01 02:50:00.000,6,44.671978,3.860292,2.496262,5.701369
2025-01-01 02:51:00.000,6,44.739834,3.854287,2.491137,5.703007
2025-01-01 02:52:00.000,6,44.804713,3.848881,2.486226,5.705607
2025-01-01 02:53:00.000,6,44.866541,3.844068,2.481525,5.709173
2025-01-01 02:54:00.000,6,44.925241,3.839845,2.477034,5.713711
2025-01-01 02:55:00.000,6,44.980729,3.836206,2.472750,5.719227
2025-01-01 02:56:00.000,6,45.032917,3.833148,2.468671,5.725728
2025-01-01 02:57:00.000,6,45.081708,3.830669,2.464794,5.733224
2025-01-01 02:58:00.000,6,45.127000,3.828765,2.461119,5.741722
2025-01-01 02:59:00.000,5,38.927648,4.101392,3.060274,5.751232
2025-01-01 03:00:00.000,5,38.909314,4.101138,3.068019,5.761765
2025-01-01 03:01:00.000,5,38.888610,4.101529,3.075872,5.773333
2025-01-01 03:02:00.000,6,45.270925,3.826870,2.448390,5.785949
2025-01-01 03:03:00.000,6,45.296971,3.827823,2.445692,5.799625
2025-01-01 03:04:00.000,6,45.318773,3.829346,2.443185,5.814376
2025-01-01 03:05:00.000,6,45.336186,3.831441,2.440867,5.830217
2025-01-01 03:06:00.000,6,45.349064,3.834110,2.438736,5.847166
2025-01-01 03:07:00.000,5,38.714602,4.117466,3.125342,5.865239
2025-01-01 03:08:00.000,5,38.677303,4.122403,3.133992,5.884456
2025-01-01 03:09:00.000,5,38.637636,4.128001,3.142763,5.904836
2025-01-01 03:10:00.000,5,38.595600,4.134263,3.151656,5.926401
2025-01-01 03:11:00.000,5,38.551196,4.141196,3.156501,5.949172
2025-01-01 03:12:00.000,5,38.504427,4.148804,3.135904,5.973175
2025-01-01 03:13:00.000,5,38.455293,4.157094,3.115794,5.998433
2025-01-01 03:14:00.000,5,38.403796,4.166074,3.096160,6.024974
2025-01-01 03:15:00.000,6,34.066615,5.297543,3.076990,10.906506
2025-01-01 03:16:00.000,5,38.293719,4.186134,3.058275,6.082019
2025-01-01 03:17:00.000,5,38.235143,4.197232,3.040004,6.112584
2025-01-01 03:18:00.000,6,33.509756,5.758233,3.022168,13.504119
2025-01-01 03:19:00.000,6,33.520540,5.688409,3.004758,13.022369
2025-01-01 03:20:00.000,6,33.529665,5.624487,2.987765,12.572296
2025-01-01 03:21:00.000,6,33.537132,5.565981,2.971179,12.150915
2025-01-01 03:22:00.000,6,33.542943,5.512465,2.954993,11.755602
2025-01-01 03:23:00.000,6,33.547097,5.463567,2.939197,11.384047
2025-01-01 03:24:00.000,6,33.549595,5.418957,2.923786,11.034203
2025-01-01 03:25:00.000,6,33.550439,5.378347,2.908750,10.704253
2025-01-01 03:26:00.000,6,33.549628,5.341480,2.894083,10.392574
2025-01-01 03:27:00.000,7,31.211455,5.703884,2.879776,10.097719
2025-01-01 03:28:00.000,6,33.543046,5.278103,2.865825,9.818387
2025-01-01 03:29:00.000,6,33.537274,5.251214,2.852221,9.553409
2025-01-01 03:30:00.000,6,33.529849,5.227308,2.838958,9.301730
2025-01-01 03:31:00.000,6,33.520770,5.206248,2.826030,9.062396
2025-01-01 03:32:00.000,6,33.510037,5.187909,2.813431,8.834543
2025-01-01 03:33:00.000,6,33.497649,5.172184,2.801154,8.617385
2025-01-01 03:34:00.000,6,33.483605,5.158976,2.789195,8.410205
2025-01-01 03:35:00.000,6,33.467902,5.148202,2.777548,8.212351
2025-01-01 03:36:00.000,7,31.627740,5.371240,2.766207,8.023225
2025-01-01 03:37:00.000,7,31.667455,5.348833,2.755167,7.842280
2025-01-01 03:38:00.000,7,31.705849,5.328963,2.744423,7.669014
2025-01-01 03:39:00.000,7,31.742915,5.311560,2.733970,7.502963
2025-01-01 03:40:00.000,7,31.778647,5.296566,2.723804,7.343703
2025-01-01 03:41:00.000,7,31.813040,5.283927,2.713920,7.381133
2025-01-01 03:42:00.000,7,31.846087,5.273601,2.704313,7.463853
2025-01-01 03:43:00.000,7,31.877778,5.265552,2.694979,7.549846
2025-01-01 03:44:00.000,7,31.908106,5.259751,2.685914,7.639261
2025-01-01 03:45:00.000,7,31.937062,5.256176,2.677114,7.732257
2025-01-01 03:46:00.000,7,31.964635,5.254812,2.668574,7.829002
2025-01-01 03:47:00.000,7,31.990814,5.255652,2.660292,7.929679
2025-01-01 03:48:00.000,7,32.015588,5.258693,2.652262,8.034481
2025-01-01 03:49:00.000,7,32.038943,5.263941,2.644483,8.143615
2025-01-01 03:50:00.000,7,32.060866,5.271408,2.636949,8.257305
2025-01-01 03:51:00.000,7,32.081343,5.281111,2.629658,8.375790
2025-01-01 03:52:00.000,7,32.100357,5.293077,2.622607,8.499327
2025-01-01 03:53:00.000,7,32.117892,5.307338,2.615792,8.628195
2025-01-01 03:54:00.000,7,32.133930,5.323933,2.609210,8.762691
2025-01-01 03:55:00.000,7,32.148454,5.342910,2.602858,8.903138
2025-01-01 03:56:00.000,7,32.161441,5.364325,2.596733,9.049886
2025-01-01 03:57:00.000,7,32.172874,5.388242,2.590832,9.203312
2025-01-01 03:58:00.000,7,32.182728,5.414735,2.585153,9.363825
2025-01-01 03:59:00.000,7,32.190982,5.443885,2.579693,9.531871
2025-01-01 04:00:00.000,7,32.197611,5.475787,2.574449,9.707934
2025-01-01 04:01:00.000,6,33.248153,5.518580,2.569418,9.892540
2025-01-01 04:02:00.000,6,33.282326,5.556614,2.564599,10.086266
2025-01-01 04:03:00.000,6,33.315026,5.598080,2.559989,10.289742
2025-01-01 04:04:00.000,7,32.207380,5.633211,2.555585,10.503659
2025-01-01 04:05:00.000,6,33.375836,5.691990,2.551385,10.728776
2025-01-01 04:06:00.000,7,32.201840,5.731818,2.547388,10.965927
2025-01-01 04:07:00.000,7,32.196365,5.786718,2.543590,11.216035
2025-01-01 04:08:00.000,7,32.189050,5.845640,2.539990,11.480119
2025-01-01 04:09:00.000,6,34.815384,5.480937,2.536586,11.759311
2025-01-01 04:10:00.000,6,34.872237,5.523887,2.533376,12.054869
2025-01-01 04:11:00.000,6,34.926758,5.570586,2.530359,12.368196
2025-01-01 04:12:00.000,6,34.978913,5.621289,2.527531,12.700861
2025-01-01 04:13:00.000,5,39.925963,4.200613,2.524892,5.975959
2025-01-01 04:14:00.000,5,46.293201,3.577281,2.522440,4.256672
2025-01-01 04:15:00.000,6,42.539687,3.984117,2.520172,6.081105
2025-01-01 04:16:00.000,6,42.608520,3.983321,2.518089,6.136069
2025-01-01 04:17:00.000,6,42.674749,3.983304,2.516187,6.192689
2025-01-01 04:18:00.000,5,44.624934,3.574252,2.732369,4.206191
2025-01-01 04:19:00.000,5,46.911527,3.520496,2.512923,4.232313
2025-01-01 04:20:00.000,7,38.204044,5.329603,2.511558,13.379768
2025-01-01 04:21:00.000,7,38.309939,5.260103,2.510369,12.874729
2025-01-01 04:22:00.000,7,38.413700,5.196384,2.509355,12.405468
2025-01-01 04:23:00.000,7,38.515315,5.137929,2.508515,11.968351
2025-01-01 04:24:00.000,7,38.614774,5.084292,2.507847,11.560217
2025-01-01 04:25:00.000,7,38.712069,5.035083,2.507350,11.178310
2025-01-01 04:26:00.000,7,38.807198,4.989963,2.507023,10.820209
2025-01-01 04:27:00.000,7,38.900160,4.948633,2.506865,10.483785
2025-01-01 04:28:00.000,7,38.990958,4.910832,2.506874,10.167154
2025-01-01 04:29:00.000,6,42.278753,4.518676,2.507051,9.868646
2025-01-01 04:30:00.000,6,42.420331,4.468081,2.507392,9.586771
2025-01-01 04:31:00.000,6,42.559644,4.420451,2.507899,9.320201
2025-01-01 04:32:00.000,7,39.332694,4.790709,2.508570,9.067744
2025-01-01 04:33:00.000,7,39.412833,4.767598,2.509403,8.828329
2025-01-01 04:34:00.000,8,36.653202,5.187204,2.510398,8.600990
2025-01-01 04:35:00.000,8,36.766312,5.149450,2.511555,8.384857
2025-01-01 04:36:00.000,7,39.640863,4.712806,2.512872,8.179139
2025-01-01 04:37:00.000,7,39.712827,4.699067,2.514348,7.983119
2025-01-01 04:38:00.000,7,39.782813,4.687458,2.515984,7.879821
2025-01-01 04:39:00.000,7,39.850850,4.677914,2.517777,7.991364
2025-01-01 04:40:00.000,7,39.916970,4.670380,2.519729,8.106671
2025-01-01 04:41:00.000,7,39.981201,4.664809,2.521837,8.225907
2025-01-01 04:42:00.000,8,37.508065,4.961635,2.524101,8.349247
2025-01-01 04:43:00.000,8,37.607141,4.944570,2.526521,8.476876
2025-01-01 04:44:00.000,8,37.704561,4.929736,2.529097,8.608994
2025-01-01 04:45:00.000,7,40.936289,4.370123,2.531827,6.706433
2025-01-01 04:46:00.000,7,41.080947,4.337861,2.534711,6.595845
